Date,AAPL,AMZN,EBAY,SPY,AMAT,NVDA,GOOG,QCOM,MU,JNPR,MSFT,FFIV,WDC,ACN,IBM,TER,INFY,SNE,CTSH,DATA
2010-02-08,18.772972,116.83000200000001,9.465488,90.016785,10.192530999999999,15.010882,265.011353,30.862659000000004,8.91,23.595512,22.52429,48.52,34.700764,33.469341,98.937851,8.878336000000001,10.677386,33.009997999999996,21.729319,
2010-02-09,18.973154,118.029999,9.414983,91.147408,10.260087,14.890348000000001,266.48675499999996,31.191771000000003,9.08,23.794434,22.759937,50.25,35.339645000000004,33.527657,100.01750200000001,8.945523,11.124367999999999,33.77,23.095474,
2010-02-10,18.869682,117.360001,9.242424,90.968918,10.327644,15.177773,265.498199,30.796839000000002,8.54,23.699709,22.743685,49.959998999999996,35.06834,33.344364,99.692787,8.983917,11.093036,33.810001,23.020955999999998,
2010-02-11,19.212992,120.089996,9.313972999999999,91.92100500000001,10.530312,15.87315,266.466888,31.274052,8.53,23.927042,22.849319,53.709998999999996,35.260868,33.552662,100.439598,9.329454,11.335325,34.060001,23.428318,
2010-02-12,19.378365,119.660004,9.162457,91.84449000000001,10.530312,16.086399,264.837494,31.956970000000002,8.44,23.453428,22.694933,53.349998,34.875793,33.735966,100.658798,9.415837,11.285197,34.060001,23.428318,
2010-02-16,19.670424,117.529999,9.478114,93.289658,10.935647,16.383085,268.901062,32.105076000000004,8.63,24.107016,23.143933999999998,53.57,37.265029999999996,34.02758,101.65727199999999,9.71338,11.590145,34.220001,23.56245,
2010-02-17,19.588219,116.309998,9.545455,93.731697,10.969428,16.540712,267.366028,32.442417,8.73,24.268047,23.339857000000002,53.77,37.317547,33.985931,102.550209,9.598201,11.571348,34.439999,23.44322,
2010-02-18,19.624969,118.08000200000001,9.612795,94.284309,10.707645,15.455923,269.85485800000004,32.755066,8.76,24.571161,23.650082,54.68,37.982681,34.419182,103.751595,9.569405,11.66116,34.709998999999996,23.497866000000002,
2010-02-19,19.503117,117.519997,9.856902,94.47979699999999,10.555646000000001,15.372473999999999,268.632813,32.574047,8.9,25.992006,23.486801,54.939999,37.763884999999995,34.052582,103.248322,9.665389,11.69458,34.43,23.60219,
2010-02-22,19.382235,118.010002,9.797979,94.496796,10.564131,15.400292000000002,269.64621,32.096844,8.94,25.774139,23.454148999999997,54.900002,37.081245,33.910927,102.972328,9.636595,11.679959,34.779999,23.512774,
2010-02-23,19.057292999999998,117.239998,9.633839,93.349159,10.190782,15.029423000000001,265.80618300000003,31.710125,8.61,25.480497,23.1276,54.330002,35.742233,33.544323,102.65570799999999,9.252667,11.596411999999999,34.610001000000004,23.458126,
2010-02-24,19.405442999999998,119.720001,9.789562,94.207787,10.411398,15.344662,264.017822,31.296910999999998,9.09,26.475094,23.372507000000002,55.57,34.123146000000006,33.560989,103.573029,9.579004,11.794838,34.599998,23.930069,
2010-02-25,19.535028,118.199997,9.680135,94.08025400000001,10.36897,15.205587,261.51409900000004,30.726671000000003,9.07,26.522454999999997,23.348024,55.369999,34.219409999999996,33.1194,103.150917,9.626996,11.861675,34.0,23.925102,
2010-02-26,19.788406,118.400002,9.688552,94.139732,10.385942,15.020154000000002,261.697906,30.313456,9.06,26.50351,23.405169,55.799999,33.808079,33.302708,103.22397600000001,9.588602,11.884651,34.110001000000004,23.910198,
2010-03-01,20.211016,124.540001,10.050505000000001,95.11734799999999,10.606558,15.622814000000002,264.623871,29.387863,9.77,27.024488,23.690893,58.25,35.427155,33.402683,104.368538,9.972533,12.185423,34.799999,25.077639,
2010-03-02,20.197483,125.529999,10.096802,95.380905,10.538675,15.613543,268.78182999999996,31.3465,9.57,27.062376,23.233727,59.689999,34.665752000000005,33.827614000000004,103.435005,10.164496,12.339986999999999,34.849998,25.340935,
2010-03-03,20.243898,125.889999,9.894781,95.46590400000001,10.513223,15.418835999999999,270.898071,31.974586,9.45,27.242348,23.233727,61.32,33.816826,33.860939,102.996674,10.097308,12.331632,35.5,24.759698999999998,
2010-03-04,20.377359,128.529999,10.008417,95.754929,10.40291,15.446651000000001,275.503113,32.437386,9.41,27.157099,23.372507000000002,60.700001,34.508232,34.085903,102.866798,10.1357,12.154092,35.040001000000004,24.655375,
2010-03-05,21.174235999999997,128.91000400000001,10.366161,97.123581,10.428366,15.919509,280.28204300000004,32.032433000000005,9.46,27.564407,23.339857000000002,61.220001,34.350693,34.310863,103.297005,10.270076,12.440244,36.34,25.172028,
2010-03-08,21.186804000000002,130.110001,10.454545,97.140579,10.487762,15.687716,279.422638,32.057235999999996,9.59,28.038025,23.372507000000002,60.880001,34.657005,34.544163,102.615143,10.202888,12.504992,36.75,24.849121,
2010-03-09,21.567839000000003,128.820007,10.736532,97.30212399999999,10.428366,16.271829999999998,278.285034,31.966317999999998,9.41,28.312721000000003,23.511293,61.66,33.948116,35.044075,101.917023,10.375657,12.423533,37.150002,24.98325,
